,Tau,Method,WCSS/TSS
234,0.05,Randomized,0.1687363951818838
235,0.1,Randomized,0.1687363951818838
236,0.25,Randomized,0.1687363951818838
237,0.5,Randomized,0.8825795096119208
238,1.0,Randomized,0.9474739743895331
239,5.0,Randomized,0.9658671392995611
240,0.0,Naive,0.16681541835253125
241,0.025,Randomized,0.16681541835253125
242,0.05,Randomized,0.16681541835253125
243,0.1,Randomized,0.16681541835253125
244,0.25,Randomized,0.16681541835253125
245,0.5,Randomized,0.8893577206962868
246,1.0,Randomized,0.8895642399967101
247,5.0,Randomized,0.7702235378188801
248,0.0,Naive,0.9350336360119574
249,0.025,Randomized,0.9350336360119574
250,0.05,Randomized,0.20940134031303967
251,0.1,Randomized,0.8900292096276707
252,0.25,Randomized,0.7005662263548655
253,0.5,Randomized,0.9741675710829738
254,1.0,Randomized,0.8636338389416522
255,5.0,Randomized,0.9847123394041722
256,0.0,Naive,0.1682532235284111
257,0.025,Randomized,0.1682532235284111
258,0.05,Randomized,0.1682532235284111
259,0.1,Randomized,0.1682532235284111
260,0.25,Randomized,0.1682532235284111
261,0.5,Randomized,0.8172176529445331
262,1.0,Randomized,0.8774615539672933
263,5.0,Randomized,0.8518138706935205
264,0.0,Naive,0.15253747597122105
265,0.025,Randomized,0.15253747597122105
266,0.05,Randomized,0.15253747597122105
267,0.1,Randomized,0.15253747597122105
268,0.25,Randomized,0.15253747597122105
269,0.5,Randomized,0.8770692638148732
270,1.0,Randomized,0.9036582871841996
271,5.0,Randomized,0.9960624456028695
272,0.0,Naive,0.1694480878368409
273,0.025,Randomized,0.1694480878368409
274,0.05,Randomized,0.1694480878368409
275,0.1,Randomized,0.1694480878368409
276,0.25,Randomized,0.1694480878368409
277,0.5,Randomized,0.7810908733426768
278,1.0,Randomized,0.8977209971465802
279,5.0,Randomized,0.9894941580062808
280,0.0,Naive,0.1629831222731429
281,0.025,Randomized,0.1629831222731429
282,0.05,Randomized,0.1629831222731429
283,0.1,Randomized,0.1629831222731429
284,0.25,Randomized,0.9617049890878363
285,0.5,Randomized,0.9256051083681041
286,1.0,Randomized,0.7496776160753437
