tau,delta,effect_size,reject
0.01,5.0,1.5901495861822514,1
0.01,5.0,1.1663311668630565,0
0.01,5.0,1.4418665648759985,0
0.01,5.0,1.6891653006201397,1
0.01,5.0,1.6012400773978963,1
0.01,5.0,1.7088170660204691,1
0.01,5.0,1.921800983972033,1
0.01,5.0,1.603265073245357,1
0.01,5.0,1.5571980234744216,1
0.01,5.0,1.4595160997800087,0
0.01,5.0,1.4435698816665394,0
0.01,5.0,1.4278542470849684,0
0.01,6.875,1.8195913470550868,1
0.01,6.875,1.8100622788445153,1
0.01,6.875,1.912787061030666,1
0.01,6.875,1.9054826125571875,1
0.01,6.875,1.7612119958622907,1
0.01,6.875,1.8220943446395559,1
0.01,6.875,1.9755700278932742,1
0.01,6.875,1.911522466632276,1
0.01,6.875,1.7723495075028843,1
0.01,6.875,1.8703792749842145,1
0.01,6.875,1.8820521919152033,1
0.01,6.875,1.762710488358649,1
0.01,6.875,1.9323214452055555,1
0.01,6.875,1.857342552343579,1
0.01,6.875,1.9811414221875137,1
0.01,6.875,1.7535831754257778,1
0.01,6.875,1.8266860553998936,1
0.01,6.875,1.9353699757158511,1
0.01,6.875,1.729136592918507,1
0.01,6.875,1.7084190945529967,1
0.01,6.875,1.6412951629607428,1
0.01,6.875,1.842658844327922,1
0.01,6.875,1.6906132876227398,1
0.01,6.875,1.9692384956399025,1
0.01,6.875,1.8754400436464813,1
0.01,6.875,1.747782470214535,1
0.01,6.875,1.7362266696791535,1
0.01,6.875,2.02656375232042,1
0.01,6.875,1.7673316376151134,1
0.01,6.875,1.7467651579221015,1
0.01,8.75,1.8941948433313578,1
0.01,8.75,1.7847021732025488,1
0.01,8.75,1.814914278149109,1
0.01,8.75,1.8613401178731344,1
0.01,8.75,1.970450438995169,1
0.01,8.75,1.8407518245049261,1
0.01,8.75,1.9844460968890438,1
0.01,8.75,1.8712303301224802,1
0.01,8.75,1.83270929411864,1
0.01,8.75,1.855111251156393,1
0.01,8.75,1.7790387816518936,1
0.01,8.75,1.9021582514986564,1
0.01,8.75,1.825051144398375,1
0.01,8.75,1.8626702971375928,1
0.01,8.75,1.880438885759334,1
0.01,8.75,2.005512738146993,1
0.01,8.75,1.9556549313703533,1
0.01,8.75,1.7636780962028962,1
0.01,8.75,1.8577910014326369,1
0.01,8.75,1.9142685499662546,1
0.01,8.75,1.887881307358553,1
0.01,8.75,1.9796754369256293,1
0.01,8.75,1.9471833376177727,1
0.01,8.75,1.9275407687172115,1
0.01,8.75,1.7499250686943504,1
0.01,8.75,1.8144628625453267,1
0.01,8.75,1.8481891906591061,1
0.01,8.75,2.042923784939442,1
0.01,8.75,1.7758903410520515,1
0.01,8.75,1.8586314404997097,1
0.01,10.625,1.824491958440547,1
0.01,10.625,1.8158961017209978,1
0.01,10.625,1.931740930796541,1
0.01,10.625,1.8566007279731345,1
0.01,10.625,2.0076927761667513,1
0.01,10.625,1.8371551480672412,1
0.01,10.625,1.826764099127504,1
0.01,10.625,1.8516901440633464,1
0.01,10.625,1.9069053369590894,1
0.01,10.625,1.9554325554694936,1
0.01,10.625,1.8491367060411432,1
0.01,10.625,1.9198623619155124,1
0.01,10.625,1.9752785280768612,1
0.01,10.625,1.9672333261518724,1
0.01,10.625,1.8454965650786805,1
0.01,10.625,2.108859673982939,1
0.01,10.625,1.993397546043557,1
0.01,10.625,1.9537048983421204,1
0.01,10.625,1.7976631684391202,1
0.01,10.625,1.7826815040678075,1
0.01,10.625,1.7759949756169222,1
0.01,10.625,1.8404823549731197,1
0.01,10.625,1.8199222065199057,1
0.01,10.625,1.8175447893352459,1
0.01,10.625,1.8110992360148093,1
0.01,10.625,1.8613296063635756,1
0.01,10.625,1.8036272267090834,1
0.01,10.625,2.0531443136139647,1
0.01,10.625,1.8891581458807096,1
